distance,0.8,0.6,0.4,0.2,name
2.0,0.011037,0.011691,0.014472,0.07506,bike
3.99,0.002933,0.0030440000000000003,0.003863,0.025176,bike
5.99,0.001076,0.0010869999999999999,0.0030210000000000002,0.011668000000000001,bike
7.98,0.001292,0.001296,0.001515,0.007755,bike
9.98,0.000279,0.000413,0.002147,0.005354,bike
11.97,0.000478,0.00047699999999999994,0.0016420000000000002,0.004267,bike
13.97,0.001085,0.001103,0.00145,0.003002,bike
15.96,0.0007599999999999999,0.0007740000000000001,0.001754,0.002552,bike
17.96,0.000202,0.000261,0.0017059999999999998,0.003141,bike
19.95,0.000212,0.00021099999999999998,0.002093,0.002353,bike
21.95,0.00037799999999999997,0.000376,0.0014990000000000001,0.003247,bike
23.94,6.7e-05,7.900000000000001e-05,0.000786,0.001727,bike
25.94,0.00128,0.0012640000000000001,0.001504,0.003091,bike
27.93,0.00033999999999999997,0.000297,0.0015689999999999999,0.002443,bike
29.93,0.000825,0.000824,0.0020440000000000002,0.0026579999999999998,bike
31.92,0.000117,0.000278,0.000834,0.002085,bike
33.92,0.000544,0.000584,0.0019370000000000001,0.001634,bike
35.91,0.000109,0.000126,0.000715,0.0012980000000000001,bike
37.91,0.000857,0.0008710000000000001,0.001263,0.0017510000000000002,bike
39.9,0.00014199999999999998,0.000662,0.001109,0.001459,bike
41.9,0.000194,0.000205,0.0010429999999999999,0.0020280000000000003,bike
43.89,0.000429,0.00042,0.001315,0.001191,bike
45.89,0.000496,0.000572,0.00146,0.001593,bike
0.22,0.017197,0.130268,0.17339200000000002,0.23120700000000002,Cabin
0.44,0.011877,0.067363,0.094113,0.148017,Cabin
0.66,0.009089,0.048125,0.068116,0.11253099999999999,Cabin
0.88,0.005202,0.036001,0.055424,0.09112,Cabin
1.1,0.005217,0.029856,0.044150999999999996,0.072741,Cabin
1.32,0.0034340000000000004,0.026133,0.034796,0.061320000000000006,Cabin
1.54,0.002409,0.02178,0.029051,0.056244,Cabin
1.76,0.0017420000000000003,0.02146,0.023492,0.050854,Cabin
1.98,0.001318,0.019368,0.022476,0.046118,Cabin
2.2,0.001151,0.016498,0.018759,0.040869,Cabin
2.42,0.0011070000000000001,0.016443,0.017777,0.038667,Cabin
2.64,0.0005269999999999999,0.014636000000000001,0.017429,0.037662,Cabin
2.86,0.0011070000000000001,0.012950999999999999,0.012005,0.035144,Cabin
3.08,0.0007480000000000001,0.012987,0.013238,0.034426,Cabin
3.3,0.000478,0.01126,0.012092,0.032198000000000004,Cabin
3.52,0.00040300000000000004,0.010764,0.011123000000000001,0.031954,Cabin
3.74,0.00035299999999999996,0.009376,0.011257,0.0305,Cabin
3.96,0.00028700000000000004,0.008778,0.00877,0.027488,Cabin
4.18,0.000197,0.008876,0.010051000000000001,0.026787000000000002,Cabin
4.4,0.000176,0.006971,0.009179000000000001,0.027315,Cabin
4.62,0.000192,0.005974,0.008384,0.026123,Cabin
4.84,0.00046100000000000004,0.005487,0.006096,0.024555,Cabin
0.74,0.028523000000000003,0.031025,0.048576999999999995,0.080432357,andy
1.62,0.013952,0.015465999999999999,0.028364999999999998,0.039561217999999995,andy
2.44,0.009772,0.011008,0.021440999999999998,0.027301462000000002,andy
3.23,0.00757,0.008865000000000001,0.017412,0.021177375,andy
4.01,0.006416,0.0072510000000000005,0.014538999999999998,0.017409978,andy
4.78,0.005659,0.006619,0.01167,0.014849633000000001,andy
5.55,0.005372999999999999,0.005913,0.010184,0.01297101,andy
6.31,0.0046890000000000005,0.0050609999999999995,0.008459,0.011547789,andy
7.07,0.003105,0.003856,0.006963,0.010417682,andy
7.83,0.003773,0.00433,0.007083,0.009497616,andy
8.59,0.003172,0.003776,0.0056549999999999994,0.008733352,andy
9.34,0.004608,0.005232,0.005906000000000001,0.008095785,andy
10.1,0.003043,0.003134,0.0048119999999999994,0.007542089,andy
