distance0,0.8-0,0.6-0,0.4-0,0.2-0,name0,distance1,0.8-1,0.6-1,0.4-1,0.2-1,name1,distance2,0.8-2,0.6-2,0.4-2,0.2-2,name2,distance3,0.8-3,0.6-3,0.4-3,0.2-3,name3,distance4,0.8-4,0.6-4,0.4-4,0.2-4,name4,distance5
2.1,0.011184,0.025551,0.031853,0.07433,table,0.22,0.029244,0.035996,0.050415,0.109328,splane,2.52,0.038945,0.153237,0.217099,0.256244,ATV,0.68,0.012393,0.023157,0.044125,0.06072,hammer,0.42,0.002048,0.00377,0.004804,0.007859,CocacolaFinal,
4.46,0.001554,0.006564,0.007636,0.017628,,0.44,0.013127,0.015136,0.020371,0.047419,splane,5.05,0.013259,0.076185,0.122388,0.133475,ATV,1.35,0.003979,0.011819,0.021115,0.026467,hammer,0.83,0.00112,0.003732,0.006079,0.006007,CocacolaFinal,
6.73,0.001015,0.003834,0.004332,0.009691,,0.66,0.010165,0.01083,0.012846,0.0319,splane,7.57,0.007139,0.052627,0.085486,0.087787,ATV,2.03,0.002058,0.007789,0.011417,0.015895,hammer,1.25,0.00081,0.002107,0.002882,0.002865,CocacolaFinal,
8.95,0.000927,0.002236,0.003264,0.007954,,0.88,0.007685,0.007894,0.009643,0.024373,splane,10.1,0.004957,0.040156,0.065895,0.063838,ATV,2.71,0.001538,0.00562,0.007216,0.009957,hammer,1.66,0.000216,0.000677,0.001391,0.002037,CocacolaFinal,
11.14,0.000755,0.000937,0.002069,0.006372,,1.1,0.005694,0.005927,0.007433,0.018597,splane,12.62,0.00354,0.031886,0.053367,0.049002,ATV,3.38,0.001264,0.004913,0.005701,0.006423,hammer,2.08,0.000131,0.000441,0.000991,0.001332,CocacolaFinal,
13.32,0.000606,0.000533,0.001826,0.005524,,1.32,0.004225,0.004483,0.005629,0.015363,splane,15.14,0.0025,0.027212,0.045207,0.039861,ATV,4.06,0.000885,0.004346,0.00465,0.00466,hammer,2.49,0.000052,0.000683,0.000455,0.000597,CocacolaFinal,
15.49,0.000482,0.000573,0.001555,0.004859,,1.54,0.002976,0.003062,0.003796,0.01246,splane,17.67,0.001944,0.024495,0.039866,0.033823,ATV,4.74,0.000419,0.00257,0.002907,0.002734,hammer,2.91,0.000028,0.002101,0.002061,0.001621,CocacolaFinal,
17.65,0.000568,0.000561,0.001454,0.004491,,1.76,0.001979,0.002039,0.002953,0.011747,splane,20.19,0.001752,0.0208,0.034577,0.027379,ATV,5.41,0.002136,0.003658,0.003738,0.003229,hammer,3.32,0.00001,0.001039,0.002199,0.001232,CocacolaFinal,
19.8,0.000335,0.000883,0.001535,0.004067,,1.98,0.001744,0.001821,0.002491,0.010331,splane,22.72,0.002022,0.01924,0.031927,0.02458,ATV,6.09,0.001108,0.002178,0.002371,0.002927,hammer,3.74,0.000035,0.000716,0.001733,0.000627,CocacolaFinal,
21.95,0.000349,0.00068,0.001065,0.003603,,2.2,0.001983,0.002155,0.003077,0.010092,splane,25.24,0.001959,0.017393,0.028619,0.02213,ATV,6.77,0.000826,0.002785,0.004081,0.002829,hammer,4.15,0.00001,0.000927,0.001389,0.000771,CocacolaFinal,
