alpha,betta,c,gamma,max_deg,tris,name,mindis,filesize
1.1152,-1.4083,0.4531,1.581707152,0.07506,178552,bike,2,97118464
-0.0232,-0.0962,0.0988,0.684436287,0.231207,2324,Cabin,0.22,1267232
0.1149,-0.1819,0.0935,0.905601731,0.080432357,2304,andy,0.74,1982112
-0.0463,0.0252,0.0484,1.026149175,0.075418,50282,chair,0.68,19398272
0.3502,-0.4532,0.1684,1.293232894,0.095863,29128,plant,0.95,51892480
0.5559,-0.8696,0.381,1.577275922,0.07433,21094,table,2.1,4819200
0.0679,-0.0923,0.0365,1.079412192,0.109328,146803,splane,0.22,105539360
-1.4873,0.6265,0.524,0.93826556,0.256244,4907,ATV,2.52,2490880
2.6906,-3.3507,0.9956,1.171827938,0.118544,45100,tree,3.12,32552032
0.0088,-0.0594,0.0486,1.331404612,0.06072,6250,hammer,0.68,12897216
-0.006,0.001,0.0038,0.542424544,0.007859,94080,CocacolaFinal,0.42,57088192
0.2635,-0.3629,0.159,1.324801445,0.080697,146803,plane,1.17,105546784
0.0226,-0.0432,0.0214,3.194428559,0.024167,86016,apricot,0.84,156952192
-2.6773,1.1394,1.0363,0.990652388,0.166146,2722,GarbageFinal,6.79,5988736
0.0017,-0.0022,0.0063,0.627673101,0.001114,10632,drawer,3.27,32542016
-0.071,-0.2606,0.2741,0.683254832,0.231878,2324,BigCabin,0.98,1267648
-0.071,-0.2606,0.2741,0.683254832,0.231878,2324,roomtable,0.98,1267648
